jump_id,knee_peak_velocity,flight_std,flight_mean_bsa,flight_jitter,landing_hip_velocity,landing_knee_compression
JP0005,200.16535552103477,9.747374475033606,11.456474024607772,2.0080098561359,0.006848726034685525,50.56409109131499
JP0006,625.0973864426049,12.052242936283982,11.850855750691238,2.253487757680862,0.03231765656288292,24.25839387064559
JP0007,,5.684705631171716,6.220428632008644,1.705415761554381,0.008206946646434135,50.092997304813736
JP0008,,8.21412967092674,8.341293034578868,1.915467350626183,0.022354119835249375,10.90605545535405
JP0009,586.4790447903362,21.687388293714907,15.318641305779028,3.405400043787912,0.022889266901156904,19.503993642170173
JP0010,541.3407657308594,11.494523574594183,8.836305747980356,1.6513511433991854,0.022090138718827007,41.98973735133904
JP0011,510.8390109283323,46.95691442051965,27.981528815476956,3.6279513479222474,0.021506491700592628,34.405311783116375
JP0012,517.0680734652984,7.724108166560945,6.855962775675421,1.384110606904885,0.043261375877706,18.729066760601285
JP0013,459.7200807878879,,,,,
JP0015,,11.653709183954378,13.741761458967208,3.74012852620161,0.00919956924615127,23.700107858720273
JP0016,463.42767723666657,10.670214923434722,10.264227917547487,2.1221658112881268,0.004655875806409519,9.066290130121033
JP0017,,10.617796036905336,6.699133082443482,3.1114611344760617,0.007348981771572449,31.022286396047576
JP0018,112.9970769883407,12.972524682162655,9.698133956391285,2.004398082720139,0.007304554215679625,64.68300576373429
JP0019,,17.612743776567296,12.408462130442382,2.502136810772485,0.009120436577146375,32.657214240532696
JP0021,,,,,0.0064333775457404985,48.99767879910058
JP0022,,9.792699162023494,8.829844306146924,1.2785448571483253,0.002548571781165604,25.09591762746048
JP0023,293.92568888112874,7.677488793269807,6.705777144673623,2.390779518836072,0.010177038435492322,47.89075007042329
JP0024,441.2995044651951,12.319400141935981,10.333526970579788,3.140031488150612,0.00908491179218391,20.123069750157327
JP0025,156.06874069823277,10.594338508381604,8.34588875159252,4.8366758809263715,0.0055842233759369544,0.0
JP0026,373.8712559711223,9.498670921476092,9.49954907113405,1.3753546668215624,0.006959067160077492,65.12539915244261
JP0028,464.9594003845943,14.262705491125566,10.966711526924897,1.485141621183551,0.0022196447335804184,13.095862571665421
JP0029,36.47631240677981,6.832134952291397,12.297430001278501,3.8608867636871103,0.0018813005589772558,7.42124583355141
JP0030,292.3635310881545,5.673997729228507,4.656466689678272,1.119634643226717,0.0013713501648635398,125.11936293820074
JP0031,568.447306715482,12.619969755388247,12.836421626917831,1.6572665177044892,0.003619449691930829,57.67708969051013
JP0032,348.4612728950333,12.361686526390315,13.132039650903875,2.011034524517896,0.007413527594476131,35.63224079392343
JP0033,290.2429847478869,7.4148977312335065,7.323827529325822,2.459373331200402,0.007708289452442764,12.105147374646194
JP0034,439.6314457051004,9.573256971057168,8.778972926006038,1.7722231886048305,0.015535859140871217,0.0
JP0035,256.16064970108073,8.612855904226377,8.12289156658644,1.9658353088366802,0.03351685272376677,26.074274610831523
JP0036,41.8614306315601,13.530324595297413,9.199090448502382,12.962751455980104,0.02647893311465515,34.25325836055518
JP0037,210.79055810274014,8.874003527603213,8.180510668703837,5.5307912438346,0.015658016454179954,28.212219916438613
JP0038,635.187074555625,8.74261454117302,8.91100078268693,1.6317882908734422,0.013772952409875881,17.355754673292125
JP0039,,6.566918706513598,6.107524188498592,1.9539624249085579,0.04776420327416715,45.73232542487274
