jump_id,telemark_flag,avg_v_style_angle,avg_body_ski_angle,avg_symmetry_index,avg_telemark_offset_x,avg_telemark_proj_ski,avg_telemark_leg_angle,flight_stability_std
JP0005,l,34.733312860776444,21.08323279111792,1.5913374026351375,0.061224369479689233,0.06536269816531765,18.10800451518747,1.1725007228058606
JP0006,l,29.144018537468554,9.69452745361887,4.648849915711555,0.015481199835526557,0.014934771744170211,7.704183618052838,0.7164371206310828
JP0007,l,30.743445897316622,16.10119078950627,3.5624281644062386,0.007620463666612465,0.005839426800855902,11.208977258262198,1.5876401961074382
JP0008,l,,15.38932904973785,,0.006860169892300057,0.006152332009259004,8.96029887330156,0.3566963950536787
JP0009,l,56.307889737808,11.670539375911261,22.08340148385893,0.05241818111187322,0.06336932626566145,27.93511419687868,1.245729395742567
JP0011,f,65.36221790124354,18.176687694718055,4.976481141324148,0.10940276679581523,0.011362351207512458,45.87271597531332,2.9297479771859476
JP0012,,53.01004668799778,9.121921024084731,11.20097340878622,0.04791658358213052,0.030397979993394754,0.3758671323098576,0.40836167901674614
JP0013,,45.09677698073495,,1.6325816561604887,,,,0.6654103541968827
JP0015,l,35.22804730090027,14.732854766615265,1.4724289771092611,0.061889292767860114,0.07249284260851742,24.90606738888984,1.4321185617435424
JP0016,l,31.2236815406247,17.761505415734845,20.466130138634767,0.0012119899168533677,0.001455979882169182,18.04750680199883,0.6148530754177117
JP0017,l,28.45401388297837,12.808016763654654,2.8814047943952326,0.07104785884861128,0.07169825986438513,38.89259987722847,1.1161481236212132
JP0018,l,,11.920088738195593,,0.04827999134709856,0.049892868736007144,8.80869790622882,0.2543083692202861
JP0019,l,39.0534276965443,9.84055003884697,4.557643135860003,0.01219649579102608,0.010500073008899557,51.57646725492772,0.9944722183908915
JP0021,,53.15485616967819,,10.879221097855861,,,,4.953555633747634
JP0022,,,8.096166037243623,,,,,0.5102495988578298
